ID,DATE,TO,FROM,REASON,SERVER,CHANNEL,QUANT_1,QUANT_1_ID,QUANT_2,QUANT_2_ID,QUANT_3,QUANT_3_ID,AVG QUANT,DUPLICATE ID,DISMISSED,CORRECTION ADD,CORRECTION SUB,CORRECTION COMMENT,FINAL QUANT
1001,01/01/2021-00:00:00,bot10#982,17,mock reason text,mock server,mock channel,55,6,21,7,55,8,43,,,,,,43
1002,01/01/2021-00:00:00,bot15#1496,10,mock reason text,mock server,mock channel,21,0,144,1,0,2,55,,,,,,55
1003,01/01/2021-00:00:00,bot1#147,23,mock reason text,mock server,mock channel,55,8,55,9,55,0,55,,,,,,55
1004,01/01/2021-00:00:00,bot2#1758,49,mock reason text,mock server,mock channel,21,2,144,3,21,4,62,,,,,,62
1005,01/01/2021-00:00:00,bot0#1429,5,mock reason text,mock server,mock channel,21,3,55,4,21,5,32,,,,,,32
1006,01/01/2021-00:00:00,bot1#846,11,mock reason text,mock server,mock channel,13,7,144,8,144,9,100,,,,,,100
1007,01/01/2021-00:00:00,bot10#204,24,mock reason text,mock server,mock channel,55,3,0,4,55,5,36,,,,,,36
1008,01/01/2021-00:00:00,bot7#1589,0,mock reason text,mock server,mock channel,144,7,0,8,144,9,96,,,,,,96
1009,01/01/2021-00:00:00,bot0#487,14,mock reason text,mock server,mock channel,144,6,21,7,0,8,55,,,,,,55
1010,01/01/2021-00:00:00,bot2#468,32,mock reason text,mock server,mock channel,144,5,144,6,21,7,103,,,,,,103
1011,01/01/2021-00:00:00,bot32#1213,34,mock reason text,mock server,mock channel,0,9,0,0,144,1,48,,,,,,48
1012,01/01/2021-00:00:00,bot1#144,37,mock reason text,mock server,mock channel,13,4,21,5,21,6,18,,,12,,addition comment,30
1013,01/01/2021-00:00:00,bot32#748,12,mock reason text,mock server,mock channel,13,4,21,5,13,6,15,1351,,,,,0
1014,01/01/2021-00:00:00,bot1#905,21,mock reason text,mock server,mock channel,0,1,144,2,0,3,48,,,,,,48
1015,01/01/2021-00:00:00,bot2#130,30,mock reason text,mock server,mock channel,21,3,0,4,21,5,14,,,,,,14
1016,01/01/2021-00:00:00,bot2#1298,24,mock reason text,mock server,mock channel,55,1,0,2,21,3,25,,,,,,25
1017,01/01/2021-00:00:00,bot7#1105,9,mock reason text,mock server,mock channel,55,0,21,1,0,2,25,,,,,,25
1018,01/01/2021-00:00:00,bot2#1959,34,mock reason text,mock server,mock channel,0,1,13,2,144,3,52,,,,,,52
1019,01/01/2021-00:00:00,bot9#717,9,mock reason text,mock server,mock channel,0,4,21,5,0,6,7,,,,,,7
1020,01/01/2021-00:00:00,bot2#1801,14,mock reason text,mock server,mock channel,144,4,144,5,144,6,144,,,,,,144
1021,01/01/2021-00:00:00,bot41#1139,17,mock reason text,mock server,mock channel,55,9,21,0,0,1,25,,,,,,25
1022,01/01/2021-00:00:00,bot15#1914,18,mock reason text,mock server,mock channel,55,9,55,0,0,1,36,,,,,,36
1023,01/01/2021-00:00:00,bot10#600,49,mock reason text,mock server,mock channel,21,3,55,4,21,5,32,,,,,,32
1024,01/01/2021-00:00:00,bot10#797,37,mock reason text,mock server,mock channel,13,9,144,0,0,1,52,,,,,,52
1025,01/01/2021-00:00:00,bot12#1233,33,mock reason text,mock server,mock channel,55,7,55,8,55,9,55,,,,,,55
1026,01/01/2021-00:00:00,bot22#871,48,mock reason text,mock server,mock channel,21,7,21,8,0,9,14,,,,,,14
