ID,DATE,TO,FROM,REASON,SERVER,CHANNEL,QUANT_1,QUANT_1_ID,QUANT_1_DUPLICATE_ID,QUANT_1_DISMISSED,QUANT_2,QUANT_2_ID,QUANT_2_DUPLICATE_ID,QUANT_2_DISMISSED,QUANT_3,QUANT_3_ID,QUANT_3_DUPLICATE_ID,QUANT_3_DISMISSED,AVG QUANT,CORRECTION ADD,CORRECTION SUB,CORRECTION COMMENT,FINAL QUANT
1001,01/01/2021-00:00:00,0x2d556b8f54e2bd8a1ae6408fc4af30b51b430f3a,0x89a57587423c49b60cfbeb62662b572c3bb6643d,mock reason text,mock server,mock channel,55,0xf220b4f804a722734a19bb371ec295eb44247baa,,,55,0x3b379d9324c060f7747da8a404bda68b0cfa903b,,,13,0x6427194e30407858fc47fb0b6c4cc7bca11bef8d,,,41,,,,41
1002,01/01/2021-00:00:00,0xb3c4409ee4e3539636087dbf7e75f1e879ad490e,0x5aa5aaf56ab93f3269fddd352ba9c25461ba4dde,mock reason text,mock server,mock channel,144,0xbb582a06cdefa893f631b0af9802374ebfd166cf,,,13,0x88d969e37d253e19de9ba23bb37d8aa1b52fefaf,,,55,0xf220b4f804a722734a19bb371ec295eb44247baa,,,70,,,,70
1003,01/01/2021-00:00:00,0x8f6b3d2c3403d03137d3662321872ca11293e70c,0x61a8c2e141f294a20477ed98699d11e08ec2d13,mock reason text,mock server,mock channel,0,0x88d969e37d253e19de9ba23bb37d8aa1b52fefaf,,,144,0xf220b4f804a722734a19bb371ec295eb44247baa,,,144,0x3b379d9324c060f7747da8a404bda68b0cfa903b,,,96,,,,96
1004,01/01/2021-00:00:00,0xeb19c4a4d6ddde8472164f31c8503c4d37ec4f60,0x6cfc731e016f277c534123307cce4769f5aa01e9,mock reason text,mock server,mock channel,21,0xceb890dd5a986ad773afc90cf991f13bc1b4ce85,,,21,0xea1dbacddc77f8718a71944abb2371c8fbaa66b3,,,55,0x5fb312a4ec6fae646fc681ab27af1f7060bb93dc,,,32,,,,32
1005,01/01/2021-00:00:00,0xf220b4f804a722734a19bb371ec295eb44247baa,0xceb890dd5a986ad773afc90cf991f13bc1b4ce85,mock reason text,mock server,mock channel,55,0x88d969e37d253e19de9ba23bb37d8aa1b52fefaf,,,144,0xf220b4f804a722734a19bb371ec295eb44247baa,,,21,0x3b379d9324c060f7747da8a404bda68b0cfa903b,,,73,,,,73
1006,01/01/2021-00:00:00,0x8190f755f19b92b9972969db3467cb61e085e01,0x8f1885f438afb1501dca5e633a52f1d4cfa5a519,mock reason text,mock server,mock channel,0,0x3b379d9324c060f7747da8a404bda68b0cfa903b,,,144,0x6427194e30407858fc47fb0b6c4cc7bca11bef8d,,,13,0x7df5875cd8cc580223e4ae9ab28391ea6fdd3562,,,52,,,,52
1007,01/01/2021-00:00:00,0xd32ea15366816a2e67e45afc8b72269ddc371647,0x12e010b799222427ec597c8baea29fdafab11b30,mock reason text,mock server,mock channel,21,0xbb582a06cdefa893f631b0af9802374ebfd166cf,,,0,0x88d969e37d253e19de9ba23bb37d8aa1b52fefaf,,,13,0xf220b4f804a722734a19bb371ec295eb44247baa,,,11,,,,11
1008,01/01/2021-00:00:00,0x794b8a0ad09f32eda92a15e839b54b7d845dd090,0x763e1599446e4a12fa74f80f1f2cd14a364d8c32,mock reason text,mock server,mock channel,0,0x6427194e30407858fc47fb0b6c4cc7bca11bef8d,,,13,0x7df5875cd8cc580223e4ae9ab28391ea6fdd3562,,,144,0x8190f755f19b92b9972969db3467cb61e085e01,,,52,,,,52
1009,01/01/2021-00:00:00,0xbb582a06cdefa893f631b0af9802374ebfd166cf,0xe6414c12a171fe1cba1842d3c374cfdcca506177,mock reason text,mock server,mock channel,55,0x5fb312a4ec6fae646fc681ab27af1f7060bb93dc,,,55,0xbb582a06cdefa893f631b0af9802374ebfd166cf,,,55,0x88d969e37d253e19de9ba23bb37d8aa1b52fefaf,,,55,,,,55
1010,01/01/2021-00:00:00,0x4c8c645c62946c69f38ae3ad22312e78d836e8ef,0xce447beda7de716c549f75605670785de11aec76,mock reason text,mock server,mock channel,0,0x5fb312a4ec6fae646fc681ab27af1f7060bb93dc,,,0,0xbb582a06cdefa893f631b0af9802374ebfd166cf,,,0,0x88d969e37d253e19de9ba23bb37d8aa1b52fefaf,,,0,,,,0
